"ID","feather_ID","Comments","black segment","clear segment","sum_length","perc_black","perc_clear"
"BW15005","R_f1","b10",NA,5.689062240197,5.689062240197,NA,1
"BW15005","R_f1","b2",NA,2.66265835117,2.66265835117,NA,1
"BW15005","R_f1","b6",0.027770439882,4.138206898183,4.165977338065,0.00666600838853788,0.993333991611462
"BW15005","R_f2","b10",NA,4.647364834973,4.647364834973,NA,1
"BW15005","R_f2","b2",NA,1.933520026462,1.933520026462,NA,1
"BW15005","R_f2","b6",NA,3.030891829829,3.030891829829,NA,1
"BW15005","R_f3","b10",0.276400019197,4.087444983083,4.36384500228,0.0633386426540328,0.936661357345967
"BW15005","R_f3","b2",NA,0.534663697073,0.534663697073,NA,1
"BW15005","R_f3","b6",0.502205720166,3.406925101036,3.909130821202,0.12846991905264,0.87153008094736
"BW15110","f1","b1",NA,1.137920765112,1.137920765112,NA,1
"BW15110","f1","b2",NA,1.604480829137,1.604480829137,NA,1
"BW15110","f1","b3",NA,2.355515337168,2.355515337168,NA,1
"BW15110","f1","b4",NA,3.076381871711,3.076381871711,NA,1
"BW15110","f1","b5",NA,3.543645602812,3.543645602812,NA,1
"BW15110","f1","b6",NA,4.135474806059,4.135474806059,NA,1
"BW15110","f1","b7",0.309350976134,4.207147522089,4.516498498223,0.0684935412368039,0.931506458763196
"BW15110","f1","b8",0.152508650401,4.667866192628,4.820374843029,0.031638338379753,0.968361661620247
"BW15110","f1","b9",NA,5.445622155601,5.445622155601,NA,1
"BW15110","f2","b1",NA,1.995274674,1.995274674,NA,1
"BW15110","f2","b10",NA,5.087005576,5.087005576,NA,1
"BW15110","f2","b2",NA,2.433246625,2.433246625,NA,1
"BW15110","f2","b3",0.181795805,2.797203809,2.978999614,0.0610257900489946,0.938974209951005
"BW15110","f2","b4",NA,3.345527729,3.345527729,NA,1
"BW15110","f2","b5",0.14403504,2.733923293,2.877958333,0.0500476460511703,0.94995235394883
