ID lon lat srtm PPT_sm PPT_sp Tave_sm Tave_sp
612897 -82.13095 36.16526 1217 397.780380884796 333.673200794152 18.907072963833 9.50707331157447
612898 -82.13095 36.16526 1217 397.780380884796 333.673200794152 18.907072963833 9.50707331157447
612907 -82.33957 36.13795 863 360.786744623171 333.758691525948 20.4938038561014 10.9618901055248
612911 -82.13095 36.16526 1217 397.780380884796 333.673200794152 18.907072963833 9.50707331157447
612912 -82.12236 36.17533 1116 398.338509332151 329.131143964049 19.0054027060646 9.60540273192047
612914 -82.13095 36.16526 1217 397.780380884796 333.673200794152 18.907072963833 9.50707331157447
612915 -82.13095 36.16526 1217 397.780380884796 333.673200794152 18.907072963833 9.50707331157447
612916 -82.12236 36.17533 1116 398.338509332151 329.131143964049 19.0054027060646 9.60540273192047
612917 -82.12236 36.17533 1116 398.338509332151 329.131143964049 19.0054027060646 9.60540273192047
612918 -82.27038 36.14038 1139 381.640852734597 345.745187586173 19.0248703414296 9.53591454094927
612928 -82.33957 36.13795 863 360.786744623171 333.758691525948 20.4938038561014 10.9618901055248
612930 -82.35464 36.1379 736 363.37699302469 325.90006713796 21.250362349962 11.5787974716328
612931 -82.33957 36.13795 863 360.786744623171 333.758691525948 20.4938038561014 10.9618901055248
