"ID","photo","pl_code","lumMean","lumSD","lwMean","lwSD","mwMean","mwSD","swMean","swSD","uvMean","uvSD","dblMean","dblSD","area","N"
"614269","dorsal","d",0.0711719113333333,0.017037178,0.0660518966666667,0.0193703446666667,0.0724847976666667,0.017930623,0.087235061,0.0142691926666667,0.096560809,0.0243808083333333,0.0711719113333333,0.017037178,34042.3333333333,3
"614269","dorsal","f",0.071832587,0.018135629,0.067048989,0.020146034,0.073185132,0.018938508,0.087130005,0.015803095,0.097331028,0.026128785,0.071832587,0.018135629,343405,1
"614269","side","o",0.059592826,0.019770351,0.057071293,0.017550077,0.060734333,0.02028646,0.072432829,0.025305246,0.087143894,0.032949278,0.059592826,0.019770351,68149,1
"614269","side","w",0.396165263,0.103882217,0.409651038,0.10852581,0.391133983,0.103053148,0.357305749,0.09238735,0.347515749,0.074236329,0.396165263,0.103882217,33095,1
"614269","ventral","b",0.448981184,0.0525466763333333,0.477793678,0.059597185,0.447762785333333,0.0541168466666667,0.369510308333333,0.041384217,0.357708732333333,0.038811653,0.448981184,0.0525466763333333,22158.3333333333,3
"614269","ventral","t",0.032797189,0.006412399,0.032176452,0.007056934,0.034098709,0.007148555,0.043120975,0.008583101,0.040984659,0.008103047,0.032797189,0.006412399,231778,1
"614270","dorsal","d",0.0707643413333333,0.010788065,0.0658197263333333,0.00991280333333333,0.0727480103333333,0.0118686853333333,0.0839038266666667,0.0157373633333333,0.101185182333333,0.0132362783333333,0.0707643413333333,0.010788065,36169,3
"614270","dorsal","f",0.071455188,0.011963051,0.066567552,0.01073251,0.073357444,0.012910346,0.084700941,0.016998379,0.102410983,0.015625853,0.071455188,0.011963051,301251,1
"614270","side","o",0.061005113,0.019805154,0.059675382,0.018362483,0.062309567,0.020702497,0.071072144,0.025566692,0.083429534,0.028630724,0.061005113,0.019805154,40890,1
"614270","side","w",0.369604716,0.084449455,0.374178889,0.086382606,0.364500452,0.083096115,0.346366131,0.085668545,0.328166128,0.116095071,0.369604716,0.084449455,34391,1
"614270","ventral","b",0.458755664,0.0548472973333333,0.473644606,0.0600892803333333,0.448440524666667,0.0551175196666667,0.412553128333333,0.04875788,0.430464637333333,0.0549359503333333,0.458755664,0.0548472973333333,36299.6666666667,3
"614270","ventral","t",0.037285484,0.010558728,0.036419449,0.010893238,0.038829088,0.011146598,0.046593067,0.012654368,0.046355725,0.012756351,0.037285484,0.010558728,177519,1
"614270","ventral","v",0.387855156,0.131629874,0.399608428,0.140613947,0.380941319,0.1279941,0.352481101,0.110310827,0.358483725,0.113478928,0.387855156,0.131629874,1292784,1
"614273","dorsal","d",0.0837255153333333,0.0117907106666667,0.0775426253333333,0.009735322,0.086945942,0.0127603236666667,0.09441442,0.0167986913333333,0.127971657,0.0131925243333333,0.0837255153333333,0.0117907106666667,35414,3
"614273","dorsal","f",0.083093635,0.011799194,0.076953385,0.009863112,0.086270814,0.012747057,0.093902864,0.01691,0.127797872,0.013497279,0.083093635,0.011799194,302048,1
